sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3537022,1,8,0,6,11,15,1,6,12,15,1,No,0,0.68,0.83,0,No,No,No,Yes,No,No
2152204,368,2,79,475,875,1275,106,379,760,1190,115,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3450325,10,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3743618,49,2,0,0,0,0,0,4,9,11,0,No,0,0.98,0.99,0,No,No,No,Yes,No,No
3292785,11,8,0,0,0,0,0,1,1,3,0,No,0,0.68,0.49,0,No,No,Yes,Yes,No,No
3584134,233,4,61,0,69,138,37,111,259,420,33,No,0,0.71,0.79,0,No,No,No,Yes,No,No
3207597,1,2,1,2,3,5,1,3,4,5,2,No,0,0.85,0.92,0,No,No,No,Yes,No,No
4764712,2,8,0,0,0,0,0,0,0,0,0,No,0,0.83,0.84,0,No,No,No,Yes,No,No
2270984,219,8,0,0,0,0,9,36,63,85,2,No,0,0.69,0.69,0,Yes,No,Yes,Yes,No,No
3406163,2,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.97,0,No,No,Yes,Yes,No,No
2876999,2,12,0,3,3,3,0,0,3,4,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
4928177,2,2,0,0,0,0,0,0,0,0,0,No,0,0.88,0.93,0,No,No,No,Yes,No,No
2266152,2322,8,0,0,0,0,10,20,42,76,0,No,0,0.82,0.91,0,No,No,Yes,Yes,No,No
3493695,141,8,33,196,309,422,41,158,297,453,61,No,0,0.51,0.6,0,No,No,No,Yes,No,No
3602561,0,8,0,0,0,0,0,0,0,0,0,No,0,0.88,0.91,0,No,No,Yes,Yes,No,No
2219333,68,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.97,0,No,No,No,Yes,No,No
2164255,2,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.83,0,Yes,No,No,Yes,No,No
3978356,3,8,0,0,0,0,0,0,0,0,0,No,0,1,0.98,0,No,No,No,Yes,No,No
3788797,8,8,0,0,0,0,0,0,0,0,1,No,0,0.98,0.96,0,No,No,No,Yes,No,No
3347996,0,8,0,0,0,0,0,0,0,0,0,No,0,0.95,0.77,0,No,No,Yes,Yes,No,No
2098623,15,14,0,0,0,0,0,0,0,0,2,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3799183,2,8,0,0,1,1,0,0,1,3,1,No,0,0.52,0.49,0,No,No,No,Yes,No,No
3611032,16,8,0,0,0,0,0,0,0,0,0,No,0,0.95,0.96,0,No,No,No,Yes,No,No
3662439,10,2,0,0,0,0,0,0,0,0,1,No,0,0.9,0.94,0,Yes,No,No,Yes,No,No
2952592,154,4,34,126,291,429,56,158,322,528,32,No,0,0.79,0.66,0,No,No,No,Yes,No,No
3765837,110,8,0,89,89,89,1,25,105,142,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
2844513,9,8,0,0,0,0,1,1,1,4,0,No,0,0.78,0.71,0,No,No,No,Yes,No,No
3717959,5,8,0,0,0,0,0,0,0,0,0,No,0,0.75,0.76,0,No,No,No,Yes,No,No
3681157,165,4,0,0,0,0,0,1,1,1,0,No,0,0.72,0.81,0,No,No,No,Yes,No,No
2949097,12,8,0,0,0,0,0,0,0,0,0,No,0,0.87,0.92,0,No,No,No,Yes,No,No
3361295,2646,8,72,0,0,0,114,490,1038,1645,174,No,0,0.98,0.96,0,No,No,No,Yes,No,No
3273981,0,8,3,28,49,70,4,20,42,56,6,No,0,0.94,0.96,0,No,No,Yes,Yes,No,Yes
3830108,0,4,0,4,7,7,0,0,0,0,0,No,0,0.88,0.9,0,No,No,No,Yes,No,No
3675594,948,8,0,0,0,0,0,4,7,29,2,No,0,1,0.7,0,No,No,No,Yes,No,No
4769453,4,8,0,0,0,0,0,0,0,0,0,No,0,0.32,0.35,0,No,No,No,Yes,No,No
